domain,avg_align
kxan.com,-0.039
latimes.com,-0.3995
latino.foxnews.com,0.2312
lauraingraham.com,0.9419
leftaction.com,-0.8878
legalinsurrection.com,0.8557
lgbtqnation.com,-0.8501
liberalamerica.life,-0.9387
liberalamerica.org,-0.9387
libertynews.com,0.8947
lifenews.com,0.9664
lifesitenews.com,0.9366
liveactionnews.org,0.9228
liveleak.com,0.3231
local10.com,-0.3545
lovebscott.com,-0.883
m.cnsnews.com,0.8665
m.youtube.com,0.105
madamenoire.com,-0.8568
madworldnews.com,0.8609
marinecorpstimes.com,0.5372
mashable.com,-0.4106
mediaite.com,-0.1326
mediamatters.org,-0.8509
miamiherald.com,-0.3418
mic.com,-0.7083
middleeastmonitor.com,-0.6544
military.com,0.4081
militarytimes.com,0.4459
mlive.com,-0.3186
mondoweiss.net,-0.7135
money.cnn.com,-0.2565
motherjones.com,-0.8663
mrctv.org,0.8636
msn.com,-0.084
msnbc.com,-0.8102
myfox8.com,-0.021
myfoxal.com,0.0788
myfoxchicago.com,-0.342
myfoxdetroit.com,-0.3483
myfoxdfw.com,0.1633
myfoxny.com,-0.0713
myfoxtampabay.com,0.1475
myfoxtwincities.com,-0.1171
nahadaily.com,-0.7746
nation.foxnews.com,0.9012
nationaljournal.com,0.0191
nationalprolifealliance.com,0.9108
nationalreport.net,0.1168
nationalreview.com,0.9009
nationalrighttolifenews.org,0.9739
nationofchange.org,-0.8262
naturalnews.com,0.4837
navytimes.com,0.3365
nbcbayarea.com,-0.5023
nbcchicago.com,-0.3416
nbcconnecticut.com,-0.1992
nbcdfw.com,0.1204
nbclosangeles.com,-0.2456
nbcnews.com,-0.2735
nbcnewyork.com,-0.3704
nbcphiladelphia.com,-0.3285
nbcsandiego.com,-0.1038
nbcwashington.com,-0.4291
newjersey.news12.com,-0.2447
newnownext.com,-0.9097
newrepublic.com,-0.6695
news.investors.com,0.8955
news.msn.com,-0.0623
news.vice.com,-0.4284
news.yahoo.com,0.0493
news9.com,0.1417
newsbusters.org,0.9168
newsiosity.com,0.6111
newsmax.com,0.7697
newsninja2012.com,0.8971
newsone.com,-0.7794
newspunch.com,-0.2572
newsweek.com,-0.2726
newyork.cbslocal.com,-0.2017
newyorker.com,-0.7584
next-genpatriots.com,0.8144
nj.com,-0.2969
nola.com,-0.2175
nowtheendbegins.com,0.8533
npr.org,-0.6103
nraila.org,0.8529
nrcc.org,0.9257
nrdc.org,-0.6553
numbersusa.com,0.8549
nydailynews.com,-0.2217
nypost.com,0.2497
nytimes.com,-0.5469
occupydemocrats.com,-0.899
odmp.org,0.5967
okcfox.com,0.1296
online.wsj.com,0.2764
opposingviews.com,0.2685
ora.tv,-0.2014
oregonlive.com,-0.3203
pamelageller.com,0.8632
patch.com,-0.0102
patheos.com,-0.2624
patriotnewswire.com,0.829
patriotupdate,0.8892
pbs.org,-0.5393
people.com,-0.2034
personalliberty.com,0.8637
petitions.whitehouse.gov,-0.2005
philly.com,-0.3668
pittsburgh.cbslocal.com,-0.1747
pix11.com,-0.5719
pjmedia.com,0.9125
policeone.com,0.5063
policestateusa.com,-0.0106
politicalears.com,0.8225
politico.com,-0.1334
politicususa.com,-0.9037
politifact.com,-0.4802
popularmilitary.com,0.4461
prepperchimp.com,0.8496
presstv.com,-0.4142
presstv.ir,-0.4142
q13fox.com,-0.0132
qpolitical.com,0.861
quiznatic.com,0.2979
quizony.com,-0.0018
qz.com,-0.4713
radio.foxnews.com,0.6973
rare.us,0.6386
rawstory.com,-0.8534
readersupportednews.org,-0.9984
reagancoalition.com,0.8878
realclearpolitics.com,0.6616
reason.com,0.3502
redflagnews.com,0.9163
redstate.com,0.9624
reuters.com,-0.0945
reverbpress.com,-0.8922
rightwingnews.com,0.88795
rightwingwatch.org,-0.9407
ringoffireradio.com,-0.9472
rollingstone.com,-0.6487
rt.com,-0.1488
rushlimbaugh.com,1.0077
sacramento.cbslocal.com,-0.1622
salon.com,-0.8753
samuel-warde.com,-0.9095
sanders.senate.gov,-0.8528
scgnews.com,0.1063
scout.com,0.3947
secretsofthefed.com,0.0666
secure.nrdconline.org,-0.6553
secure3.convio.net,-0.6422
sfgate.com,-0.581
