t_usr_id_ego,BreitbartNews,BreitbartNews,bot11,bot11,bot14,bot14,bot12,bot12,bot13,bot13,bot10,bot10,USATODAY,USATODAY,WSJ,WSJ,bot7,bot7,bot2,bot2,bot5,bot5,bot6,bot6,bot15,bot15,bot1,bot1,thenation,thenation,bot4,bot4,bot3,bot3,bot8,bot8,washingtonpost,washingtonpost,bot9,bot9
conn_type,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower,friend,follower
9,0.04178983547133819,0.05333128056896264,0.09286695366967546,0.12588928944948308,0.10827700665723966,0.5061919589474342,0.6884177623265628,0.3039573320934062,0.10827700665723966,0.42151725890598224,0.9530817363696625,0.3412193545017134,0.08592399976334196,0.06783456974919343,0.08592399976334196,,0.023437100509770627,0.04918384795249982,0.07945465272791494,0.46359219069702307,0.03546593341354506,0.9632891569033074,0.038503444945083086,0.5274968237537414,0.045343501437382056,0.7565854729457974,0.28621206238390096,0.28621206238390096,0.06263387811083082,0.6884177623265628,0.030068974042493608,0.7719542327261165,0.04178983547133819,0.7064204238004218,0.1167953743919475,0.7405291005715704,0.030068974042493608,,0.027677698437753848,
10,0.06263387811083082,0.05780718298413593,0.05780718298413593,0.7238002465135849,0.7064204238004218,0.40086139116347386,0.03265990956683609,0.6506901031179089,0.05333128056896264,0.16847316644464133,0.07343326191269153,0.10827700665723966,0.04918384795249982,0.9402123048447205,0.04918384795249982,,0.027677698437753848,0.5905129273413294,,0.9448325758058531,0.3412193545017134,0.7719542327261165,0.04918384795249982,,0.05780718298413593,0.15685510336103622,0.045343501437382056,0.09286695366967546,0.030068974042493608,0.038503444945083086,0.07945465272791494,0.7238002465135849,0.23688377651035014,0.6884177623265628,0.01983296694956421,0.7238002465135849,0.025471598156045747,,0.03265990956683609,0.5061919589474342
11,0.3039573320934062,,0.7565854729457974,0.8964140695210783,0.05333128056896264,0.3412193545017134,0.03265990956683609,0.22180647190550215,0.038503444945083086,0.22180647190550215,0.03265990956683609,0.6884177623265628,0.03265990956683609,0.5487020083865324,0.023437100509770627,,0.030068974042493608,0.16847316644464133,0.5905129273413294,0.5061919589474342,0.28621206238390096,0.5487020083865324,0.045343501437382056,0.1807672693005155,0.03265990956683609,0.5061919589474342,,0.8005982245473489,0.09286695366967546,0.06263387811083082,0.01983296694956421,0.10827700665723966,0.6109757209767682,,0.025471598156045747,0.9402123048447205,0.027677698437753848,,0.04178983547133819,0.10030935716061677
12,0.04178983547133819,0.4848645828256039,0.038503444945083086,0.42151725890598224,0.3039573320934062,0.46359219069702307,0.027677698437753848,0.2691022464970497,0.5905129273413294,0.7064204238004218,0.7866262980972412,0.5905129273413294,0.1167953743919475,0.8495856011768973,0.030068974042493608,,0.038503444945083086,0.03265990956683609,0.045343501437382056,0.4848645828256039,0.32230602190830704,,0.03265990956683609,0.23688377651035014,0.07945465272791494,0.8138717339737572,0.038503444945083086,0.10827700665723966,0.04918384795249982,0.06783456974919343,0.0215615093045025,0.025471598156045747,0.03265990956683609,0.6310548366819692,0.22180647190550215,0.826453203646374,0.07945465272791494,,0.03265990956683609,0.10030935716061677
13,0.025471598156045747,0.8701191997119831,0.20742796687543463,,0.05780718298413593,0.8701191997119831,0.22180647190550215,0.8701191997119831,0.28621206238390096,0.32230602190830704,0.03546593341354506,0.28621206238390096,0.07945465272791494,0.966190224001528,0.06783456974919343,,0.038503444945083086,0.8005982245473489,0.15685510336103622,0.6506901031179089,0.12588928944948308,0.5905129273413294,0.07945465272791494,0.04918384795249982,0.03546593341354506,0.06783456974919343,0.6109757209767682,0.6310548366819692,0.2691022464970497,0.10827700665723966,0.045343501437382056,0.46359219069702307,0.13558257714003935,0.8005982245473489,0.04178983547133819,,0.03265990956683609,,0.8601677371481485,0.42151725890598224
14,0.5061919589474342,0.7866262980972412,0.025471598156045747,0.7866262980972412,0.32230602190830704,0.6698271269837389,0.32230602190830704,0.6109757209767682,0.7064204238004218,0.20742796687543463,0.045343501437382056,0.9530817363696625,0.04178983547133819,0.1167953743919475,0.045343501437382056,,0.10827700665723966,0.36065190656573104,0.44245148142042123,0.6109757209767682,0.01983296694956421,0.5061919589474342,0.03265990956683609,0.5061919589474342,0.4848645828256039,0.380551857066998,0.09286695366967546,0.28621206238390096,0.038503444945083086,,0.04918384795249982,0.12588928944948308,0.023437100509770627,0.25265321740844954,0.027677698437753848,0.8138717339737572,0.030068974042493608,,0.22180647190550215,0.5697317833219949
15,0.826453203646374,0.15685510336103622,0.03265990956683609,0.6310548366819692,0.03265990956683609,0.44245148142042123,0.13558257714003935,0.6310548366819692,0.22180647190550215,0.07343326191269153,0.038503444945083086,0.7719542327261165,0.027677698437753848,0.19374947883382485,0.13558257714003935,,0.07945465272791494,0.8005982245473489,0.023437100509770627,0.7405291005715704,0.23688377651035014,0.3039573320934062,0.03265990956683609,0.20742796687543463,0.025471598156045747,0.3412193545017134,0.023437100509770627,0.03546593341354506,0.08592399976334196,0.023437100509770627,0.06783456974919343,0.19374947883382485,0.7238002465135849,0.04178983547133819,0.027677698437753848,0.06783456974919343,0.2691022464970497,,0.045343501437382056,0.8601677371481485
16,0.045343501437382056,,0.32230602190830704,0.826453203646374,0.19374947883382485,0.46359219069702307,0.07343326191269153,0.8495856011768973,0.3039573320934062,0.06263387811083082,0.027677698437753848,0.44245148142042123,0.07945465272791494,,0.08592399976334196,,0.027677698437753848,0.038503444945083086,0.8495856011768973,0.5061919589474342,0.13558257714003935,0.5905129273413294,0.1167953743919475,,0.038503444945083086,0.6310548366819692,0.023437100509770627,0.4848645828256039,0.025471598156045747,0.44245148142042123,0.32230602190830704,0.8701191997119831,0.025471598156045747,0.25265321740844954,0.025471598156045747,0.3039573320934062,0.14589765727494236,,0.027677698437753848,0.8495856011768973
17,0.027677698437753848,,0.25265321740844954,0.1167953743919475,0.03546593341354506,0.7719542327261165,0.06783456974919343,0.7565854729457974,0.1167953743919475,0.10827700665723966,0.8601677371481485,0.3039573320934062,0.07945465272791494,0.5487020083865324,0.7064204238004218,0.7405291005715704,0.04178983547133819,0.08592399976334196,0.9448325758058531,0.8005982245473489,0.030068974042493608,0.8138717339737572,0.05333128056896264,0.04178983547133819,0.6884177623265628,0.5697317833219949,0.03546593341354506,0.1167953743919475,0.045343501437382056,,0.07343326191269153,0.09286695366967546,0.9853116521210984,0.23688377651035014,,0.9736247158244454,0.10827700665723966,,0.038503444945083086,0.46359219069702307
18,0.380551857066998,0.44245148142042123,0.15685510336103622,0.03265990956683609,0.04178983547133819,0.5061919589474342,0.03265990956683609,0.46359219069702307,0.05780718298413593,,0.03546593341354506,0.42151725890598224,0.07343326191269153,0.9112229533096339,0.20742796687543463,0.5274968237537414,0.13558257714003935,0.04178983547133819,0.16847316644464133,0.5905129273413294,0.10827700665723966,0.380551857066998,0.027677698437753848,0.8005982245473489,0.46359219069702307,0.46359219069702307,0.08592399976334196,0.5905129273413294,0.10827700665723966,0.23688377651035014,0.04918384795249982,0.5061919589474342,0.5061919589474342,0.44245148142042123,0.03265990956683609,0.9178878139616656,0.09286695366967546,0.826453203646374,0.06263387811083082,0.6109757209767682
19,0.0215615093045025,0.16847316644464133,0.03265990956683609,0.28621206238390096,0.15685510336103622,0.46359219069702307,0.25265321740844954,0.2691022464970497,0.42151725890598224,0.07343326191269153,0.28621206238390096,0.380551857066998,0.045343501437382056,0.9298669453061029,0.32230602190830704,0.6109757209767682,0.023437100509770627,0.20742796687543463,0.04178983547133819,0.8701191997119831,0.07343326191269153,0.7565854729457974,0.04918384795249982,0.6884177623265628,0.025471598156045747,0.19374947883382485,0.07343326191269153,0.10030935716061677,0.04178983547133819,0.14589765727494236,0.0215615093045025,0.038503444945083086,0.36065190656573104,0.19374947883382485,0.023437100509770627,0.04918384795249982,0.16847316644464133,0.6698271269837389,0.038503444945083086,0.9491151251673986
20,0.04178983547133819,0.36065190656573104,0.08592399976334196,0.380551857066998,,0.4848645828256039,0.06783456974919343,0.6698271269837389,0.16847316644464133,,0.03265990956683609,0.28621206238390096,0.04178983547133819,0.16847316644464133,0.038503444945083086,0.9442739680420996,0.03265990956683609,0.08592399976334196,0.5061919589474342,0.6884177623265628,0.8701191997119831,0.23688377651035014,0.07945465272791494,0.7719542327261165,0.9864967914296349,0.8005982245473489,0.05333128056896264,0.20742796687543463,0.10030935716061677,,0.05780718298413593,0.9688694437075864,0.6884177623265628,0.380551857066998,0.14589765727494236,0.32230602190830704,0.07945465272791494,0.9442739680420996,0.030068974042493608,0.42151725890598224
21,0.03265990956683609,0.46359219069702307,0.030068974042493608,,0.06783456974919343,0.3039573320934062,0.23688377651035014,0.8794616900661685,0.10030935716061677,0.380551857066998,0.06783456974919343,0.46359219069702307,0.027677698437753848,0.28621206238390096,0.13558257714003935,0.19374947883382485,0.030068974042493608,0.3039573320934062,0.22180647190550215,0.28621206238390096,,0.8964140695210783,0.10827700665723966,0.7719542327261165,0.12588928944948308,0.19374947883382485,0.038503444945083086,0.05333128056896264,0.08592399976334196,0.07343326191269153,0.12588928944948308,0.6884177623265628,0.4848645828256039,0.966190224001528,0.04918384795249982,0.42151725890598224,0.10827700665723966,,,0.7064204238004218
22,0.04178983547133819,0.7064204238004218,0.06783456974919343,,0.40086139116347386,0.44245148142042123,0.23688377651035014,0.5487020083865324,0.22180647190550215,,0.03265990956683609,0.3412193545017134,0.19374947883382485,0.32230602190830704,0.09286695366967546,0.966190224001528,0.22180647190550215,0.380551857066998,0.3412193545017134,0.018240414977142547,,0.05780718298413593,0.07343326191269153,0.8495856011768973,0.025471598156045747,0.2691022464970497,0.7238002465135849,0.40086139116347386,0.12588928944948308,0.3412193545017134,0.045343501437382056,0.9826258494473956,0.025471598156045747,0.10827700665723966,0.9757295961173048,0.3412193545017134,0.04918384795249982,0.19374947883382485,0.14589765727494236,0.5274968237537414
23,0.025471598156045747,,0.6506901031179089,0.6310548366819692,0.04178983547133819,0.20742796687543463,0.5697317833219949,0.8701191997119831,0.14589765727494236,0.25265321740844954,0.045343501437382056,0.380551857066998,0.045343501437382056,0.380551857066998,0.038503444945083086,0.9470261822603973,0.045343501437382056,0.9240939964164224,0.46359219069702307,0.9864967914296349,0.04918384795249982,0.6310548366819692,0.04178983547133819,0.6310548366819692,0.05780718298413593,0.40086139116347386,0.025471598156045747,0.46359219069702307,0.13558257714003935,0.3039573320934062,0.045343501437382056,,0.05333128056896264,0.32230602190830704,0.030068974042493608,,0.04918384795249982,0.5274968237537414,0.06783456974919343,0.15685510336103622
24,0.5274968237537414,0.3412193545017134,0.380551857066998,0.03546593341354506,0.045343501437382056,,0.027677698437753848,0.6884177623265628,0.15685510336103622,0.44245148142042123,0.06263387811083082,,0.15685510336103622,0.380551857066998,0.05780718298413593,0.8383531326036774,0.04178983547133819,0.40086139116347386,0.025471598156045747,0.3039573320934062,0.038503444945083086,,0.05780718298413593,0.6506901031179089,0.7565854729457974,0.6310548366819692,0.05333128056896264,0.04918384795249982,0.03546593341354506,0.10827700665723966,0.06263387811083082,,0.05333128056896264,0.32230602190830704,0.380551857066998,,0.04178983547133819,,,0.3412193545017134
25,0.03265990956683609,0.25265321740844954,0.23688377651035014,0.32230602190830704,0.19374947883382485,0.3412193545017134,0.5697317833219949,0.6310548366819692,0.22180647190550215,0.13558257714003935,0.1167953743919475,0.06783456974919343,0.030068974042493608,0.20742796687543463,0.045343501437382056,0.5487020083865324,0.07945465272791494,,0.045343501437382056,0.9632891569033074,0.9632891569033074,0.7719542327261165,0.07945465272791494,0.826453203646374,0.5905129273413294,0.3039573320934062,0.027677698437753848,0.9352316115657808,0.025471598156045747,0.04918384795249982,0.027677698437753848,,0.44245148142042123,0.10030935716061677,0.9688694437075864,,0.04918384795249982,0.380551857066998,0.03546593341354506,
26,0.03265990956683609,0.14589765727494236,0.03265990956683609,0.7238002465135849,0.10827700665723966,,0.05333128056896264,0.6109757209767682,0.42151725890598224,0.4848645828256039,0.027677698437753848,0.23688377651035014,0.07343326191269153,0.20742796687543463,0.7866262980972412,0.20742796687543463,0.05780718298413593,0.8701191997119831,0.05333128056896264,0.5487020083865324,0.5274968237537414,0.10827700665723966,0.03265990956683609,0.07945465272791494,0.2691022464970497,0.045343501437382056,0.045343501437382056,0.22180647190550215,0.038503444945083086,0.14589765727494236,0.027677698437753848,,0.04918384795249982,0.4848645828256039,0.030068974042493608,0.8383531326036774,0.06263387811083082,,0.03546593341354506,0.1807672693005155
27,0.030068974042493608,0.6109757209767682,0.045343501437382056,0.7405291005715704,0.40086139116347386,0.42151725890598224,0.01983296694956421,0.23688377651035014,0.045343501437382056,0.9040736566800007,0.030068974042493608,0.06783456974919343,0.06783456974919343,0.5487020083865324,0.08592399976334196,0.7405291005715704,0.9794591788597505,0.4848645828256039,0.023437100509770627,0.3412193545017134,0.030068974042493608,0.19374947883382485,0.038503444945083086,0.3039573320934062,0.40086139116347386,0.12588928944948308,0.04178983547133819,0.09286695366967546,0.023437100509770627,,0.03546593341354506,,,0.7238002465135849,0.045343501437382056,0.826453203646374,0.32230602190830704,,0.03546593341354506,0.6506901031179089
28,0.3039573320934062,,0.14589765727494236,0.12588928944948308,0.025471598156045747,0.3412193545017134,0.7064204238004218,,0.32230602190830704,0.7719542327261165,0.5697317833219949,0.32230602190830704,0.13558257714003935,0.44245148142042123,0.42151725890598224,0.380551857066998,0.04178983547133819,0.826453203646374,0.7238002465135849,0.8882184952163719,0.030068974042493608,0.15685510336103622,0.030068974042493608,0.36065190656573104,0.025471598156045747,0.6109757209767682,0.04178983547133819,0.5274968237537414,0.03265990956683609,,0.038503444945083086,,0.44245148142042123,0.7719542327261165,0.045343501437382056,0.44245148142042123,0.025471598156045747,0.9112229533096339,0.08592399976334196,0.826453203646374
29,0.03265990956683609,,0.03265990956683609,0.5905129273413294,0.46359219069702307,0.08592399976334196,0.030068974042493608,0.22180647190550215,0.32230602190830704,,0.06263387811083082,0.16847316644464133,0.06783456974919343,0.9794591788597505,0.20742796687543463,,0.0215615093045025,0.5061919589474342,0.07945465272791494,0.3412193545017134,0.16847316644464133,0.045343501437382056,0.045343501437382056,0.13558257714003935,0.10827700665723966,0.2691022464970497,0.030068974042493608,0.15685510336103622,0.13558257714003935,,0.07343326191269153,,0.4848645828256039,0.8701191997119831,,,0.05333128056896264,,0.045343501437382056,
30,0.03265990956683609,0.14589765727494236,0.03546593341354506,0.32230602190830704,0.8701191997119831,0.5274968237537414,0.030068974042493608,0.5905129273413294,0.7064204238004218,0.2691022464970497,0.14589765727494236,0.2691022464970497,0.42151725890598224,,0.06263387811083082,0.32230602190830704,0.1167953743919475,0.6506901031179089,0.09286695366967546,0.8138717339737572,0.46359219069702307,0.23688377651035014,0.027677698437753848,0.23688377651035014,0.10030935716061677,0.44245148142042123,0.8005982245473489,0.025471598156045747,0.07343326191269153,0.05333128056896264,0.05333128056896264,,0.045343501437382056,0.380551857066998,0.05780718298413593,0.6310548366819692,0.04178983547133819,0.8882184952163719,,0.20742796687543463
31,0.05780718298413593,,0.19374947883382485,0.7565854729457974,0.6310548366819692,0.5697317833219949,0.25265321740844954,0.7405291005715704,0.46359219069702307,0.22180647190550215,0.06263387811083082,0.10030935716061677,0.25265321740844954,0.46359219069702307,0.8882184952163719,0.1167953743919475,0.22180647190550215,0.10030935716061677,,0.9240939964164224,0.5697317833219949,0.14589765727494236,0.15685510336103622,0.25265321740844954,0.25265321740844954,,0.027677698437753848,,0.06263387811083082,0.9530817363696625,0.04918384795249982,,0.22180647190550215,0.380551857066998,0.027677698437753848,,0.038503444945083086,0.8794616900661685,0.15685510336103622,0.9567532288569174
32,0.6698271269837389,0.19374947883382485,0.07343326191269153,0.6698271269837389,0.1167953743919475,0.20742796687543463,0.05780718298413593,,0.07343326191269153,0.13558257714003935,0.06783456974919343,0.14589765727494236,0.045343501437382056,0.9757295961173048,0.23688377651035014,,,0.10827700665723966,0.28621206238390096,0.5274968237537414,0.045343501437382056,0.5697317833219949,0.07343326191269153,0.8495856011768973,0.46359219069702307,0.380551857066998,0.027677698437753848,0.5905129273413294,0.03546593341354506,0.380551857066998,0.04918384795249982,,0.045343501437382056,,0.045343501437382056,0.7866262980972412,0.045343501437382056,0.6310548366819692,0.22180647190550215,0.5274968237537414
33,0.5697317833219949,0.15685510336103622,0.030068974042493608,0.966190224001528,0.5061919589474342,0.46359219069702307,0.10030935716061677,0.8882184952163719,0.06263387811083082,0.1807672693005155,0.6698271269837389,,0.05780718298413593,0.8903190288575241,0.1167953743919475,,0.027677698437753848,0.10030935716061677,0.6506901031179089,0.44245148142042123,,0.12588928944948308,0.027677698437753848,0.7405291005715704,0.03265990956683609,0.4848645828256039,0.045343501437382056,0.03265990956683609,0.04178983547133819,0.9757295961173048,0.07343326191269153,,0.09286695366967546,0.22180647190550215,0.06263387811083082,0.46359219069702307,0.05780718298413593,0.9178878139616656,0.6109757209767682,
34,0.07343326191269153,0.9352316115657808,0.027677698437753848,0.32230602190830704,0.12588928944948308,0.2691022464970497,0.5697317833219949,,,0.6310548366819692,0.038503444945083086,0.07343326191269153,0.023437100509770627,0.9567532288569174,0.05333128056896264,0.9352316115657808,0.027677698437753848,0.6109757209767682,0.06783456974919343,0.3039573320934062,0.6310548366819692,0.32230602190830704,0.0215615093045025,,0.15685510336103622,0.5274968237537414,0.05780718298413593,0.09286695366967546,0.28621206238390096,0.05333128056896264,0.04918384795249982,,0.06263387811083082,0.28621206238390096,0.025471598156045747,,0.05780718298413593,0.6884177623265628,0.03546593341354506,0.25265321740844954
35,0.03265990956683609,0.8794616900661685,0.05780718298413593,0.20742796687543463,0.03265990956683609,0.8701191997119831,0.22180647190550215,0.3412193545017134,0.15685510336103622,,0.025471598156045747,,0.04918384795249982,0.9826258494473956,0.36065190656573104,0.9178878139616656,0.0215615093045025,0.6506901031179089,0.16847316644464133,0.14589765727494236,0.023437100509770627,0.05333128056896264,0.6506901031179089,0.826453203646374,0.15685510336103622,0.2691022464970497,0.05780718298413593,0.8138717339737572,0.03265990956683609,,0.12588928944948308,,0.030068974042493608,0.8701191997119831,0.05780718298413593,0.9567532288569174,0.030068974042493608,0.8794616900661685,,0.2691022464970497
36,0.6109757209767682,0.7719542327261165,0.03546593341354506,0.22180647190550215,0.06783456974919343,0.07945465272791494,0.018240414977142547,0.12588928944948308,0.20742796687543463,,0.01983296694956421,0.7405291005715704,0.05333128056896264,0.10827700665723966,0.1167953743919475,,0.1807672693005155,0.7064204238004218,0.045343501437382056,0.16847316644464133,0.045343501437382056,0.23688377651035014,0.038503444945083086,,0.10827700665723966,0.7866262980972412,0.44245148142042123,0.380551857066998,0.025471598156045747,0.10030935716061677,0.05780718298413593,,0.25265321740844954,0.5905129273413294,0.025471598156045747,0.05780718298413593,0.06783456974919343,0.16847316644464133,0.36065190656573104,0.9040736566800007
37,0.030068974042493608,0.9298669453061029,0.16847316644464133,0.07343326191269153,0.44245148142042123,0.6506901031179089,0.03265990956683609,0.25265321740844954,,0.5697317833219949,0.03265990956683609,0.06783456974919343,0.030068974042493608,0.10030935716061677,0.05333128056896264,,0.2691022464970497,0.9448325758058531,0.03546593341354506,0.7565854729457974,0.06783456974919343,,0.03546593341354506,,0.06783456974919343,0.6310548366819692,0.42151725890598224,0.8138717339737572,0.32230602190830704,0.023437100509770627,0.05333128056896264,,0.027677698437753848,0.28621206238390096,0.04918384795249982,0.9112229533096339,0.04178983547133819,0.8005982245473489,0.5061919589474342,0.9402123048447205
38,0.06263387811083082,,0.03265990956683609,0.22180647190550215,0.7719542327261165,0.12588928944948308,0.03546593341354506,0.1167953743919475,0.6310548366819692,0.6698271269837389,0.030068974042493608,0.7866262980972412,0.13558257714003935,0.05780718298413593,0.5061919589474342,,0.380551857066998,0.08592399976334196,0.045343501437382056,0.5905129273413294,0.1167953743919475,0.5274968237537414,0.038503444945083086,,0.5061919589474342,0.7719542327261165,0.023437100509770627,0.380551857066998,0.045343501437382056,,0.09286695366967546,,0.9040736566800007,0.3412193545017134,0.027677698437753848,0.9352316115657808,0.045343501437382056,0.9826258494473956,0.03546593341354506,0.32230602190830704
39,0.05333128056896264,0.19374947883382485,,0.40086139116347386,0.3039573320934062,0.5061919589474342,0.6310548366819692,0.06263387811083082,0.03265990956683609,0.1167953743919475,0.10827700665723966,0.36065190656573104,0.04918384795249982,0.3412193545017134,0.07945465272791494,0.9826258494473956,0.9112229533096339,0.8005982245473489,0.19374947883382485,0.6698271269837389,0.03546593341354506,0.6884177623265628,0.038503444945083086,,0.07343326191269153,0.20742796687543463,0.10030935716061677,0.07343326191269153,0.025471598156045747,0.826453203646374,0.03265990956683609,,0.5697317833219949,,0.0215615093045025,0.07945465272791494,0.3412193545017134,0.8005982245473489,0.045343501437382056,0.7405291005715704
40,0.06263387811083082,0.3039573320934062,0.07343326191269153,0.4848645828256039,0.22180647190550215,0.44245148142042123,0.06263387811083082,0.8495856011768973,,0.22180647190550215,0.15685510336103622,0.1167953743919475,0.030068974042493608,0.8138717339737572,0.06783456974919343,0.8005982245473489,0.5274968237537414,0.03546593341354506,0.03265990956683609,0.380551857066998,0.05780718298413593,0.4848645828256039,0.025471598156045747,,0.15685510336103622,0.7719542327261165,0.023437100509770627,0.32230602190830704,0.038503444945083086,0.04178983547133819,0.12588928944948308,,0.04178983547133819,0.5487020083865324,0.1807672693005155,,0.045343501437382056,0.966190224001528,0.12588928944948308,0.5697317833219949
