,sum,sum,sum,sum,mean,mean,mean,mean,count,count,count,count
,sum,mean,sem,raw_values,sum,mean,sem,raw_values,sum,mean,sem,raw_values
seed,,,,,,,,,,,,
Center,138.0,46.0,19.5021366350801,"[10.0, 51.0, 77.0]",0.025389938562487065,0.008463312854162354,0.00331896866862652,"[0.003198976327575176, 0.0075938058368076235, 0.014597156398104265]",15117,5039.0,1043.039948100423,"[3126, 5275, 6716]"
Center-left,182.0,60.666666666666664,48.312639248038515,"[6.0, 19.0, 157.0]",0.029120378748532332,0.009706792916177443,0.007261808304737172,"[0.001784121320249777, 0.003126542701991114, 0.02420971472629144]",15925,5308.333333333333,979.7716287198995,"[3363, 6077, 6485]"
Center-right,1081.0,360.3333333333333,76.7883092953898,"[227.0, 361.0, 493.0]",0.23473700081868581,0.07824566693956193,0.009148418566747796,"[0.0650802752293578, 0.07382449835280024, 0.09583222723652775]",13933,4644.333333333333,1020.0180281631193,"[3488, 3767, 6678]"
Left,130.0,43.333333333333336,29.356051808405333,"[12.0, 16.0, 102.0]",0.029124993681171767,0.009708331227057256,0.008465342671219114,"[0.0011705033164260631, 0.001315681276210838, 0.026638809088534866]",26242,8747.333333333334,2520.15689546857,"[3829, 10252, 12161]"
Right,1224.0,408.0,69.61561127601577,"[290.0, 403.0, 531.0]",0.37979723574794516,0.12659907858264838,0.002734288645849268,"[0.12189957652752571, 0.12652705061082026, 0.1313706086095992]",9640,3213.3333333333335,507.30179490231563,"[2292, 3306, 4042]"
