date,url_mean,url_var,url_count
2019-07-16 00:00:00,-0.25680000000000000000,,1
2019-07-18 00:00:00,0.00930000000000000000,0.14161842000000000000,2
2019-07-21 00:00:00,0.02733333333333333333,0.07178481333333333333,3
2019-08-15 00:00:00,0.21435000000000000000,0.18775747666666666667,4
2019-08-23 00:00:00,0.10308000000000000000,0.20272317200000000000,5
2019-08-24 00:00:00,0.23085000000000000000,0.26012957500000000000,6
2019-08-29 00:00:00,0.33050000000000000000,0.28628550333333333333,7
2019-09-08 00:00:00,0.30995000000000000000,0.24876599428571428571,8
2019-09-16 00:00:00,0.30611111111111111111,0.21780287861111111111,9
2019-09-20 00:00:00,0.21283000000000000000,0.28061621566666666667,10
2019-09-26 00:00:00,0.21618181818181818182,0.25267817563636363636,11
2019-11-04 00:00:00,0.26950000000000000000,0.26382137454545454545,12
2019-11-14 00:00:00,0.31904615384615384615,0.27374893769230769231,13
