date,hashtag_mean,hashtag_var,hashtag_count,num_tw
2019-07-11,0.63266085204692800000,,1,1
2019-07-12,0.35652586006599030000,0.10824377827536230299531133554003,8,8
2019-07-14,0.19083090094342882667,0.21499868552986771384201735176559,15,15
2019-07-15,0.14496617815607070833,0.19361676596888699878856057839706,24,24
2019-07-16,0.20694126349560005455,0.17739263998584152251746370931557,33,33
2019-07-18,0.16313387033213191738,0.1857341038888929959319330886946613,42,42
2019-07-19,0.19306489189656064021,0.1918307504931345522481387488967903,48,48
2019-07-20,0.20718745238381471039,0.1923994581470593428199832170904762,51,51
2019-07-21,0.21582578189385446529,0.1625544537122664811780559262411911,51,51
2019-07-22,0.19933828483800753588,0.1688597865287734545058387670970787,51,51
2019-07-23,0.18647908159340275157,0.1603707661014958033132681667729934,51,51
2019-07-24,0.18996280045535342020,0.1397428605366138893179177597153853,51,51
2019-07-25,0.20445488567309181235,0.1396008068754380951704637985568787,51,51
2019-07-26,0.26146945554087808627,0.16703109599702993417617196069155,51,51
2019-07-27,0.24674580137048879412,0.15666014321507844222182894757435,51,51
2019-07-28,0.23670341373408839804,0.16822358786076478146097567340738,51,51
2019-07-29,0.22617305299373539451,0.1812971016862315407818842184225963,51,51
2019-07-30,0.20875681709057268863,0.1819129391513625323514744987811937,51,51
2019-07-31,0.21860939111701082784,0.1827051788581793753729055049955030,51,51
2019-08-01,0.22729707693607116118,0.1722644557548436240601351923481187,51,51
2019-08-02,0.24486654886161597098,0.1805694930002542515701126653529821,51,51
2019-08-03,0.26568033944654545922,0.1794411436770537053750710615530005,51,51
2019-08-04,0.25051716738062022000,0.1725929026043600178158290007367838,51,51
2019-08-05,0.26125921979790650627,0.1645016384550476486983689368641430,51,51
2019-08-06,0.28251347854189773569,0.1779962003957047584921331096661413,51,51
2019-08-07,0.27970961313558834353,0.1745633356301234509137920411793602,51,51
2019-08-08,0.24795781189687879059,0.1601147303203577815020935072638079,51,51
2019-08-09,0.26331818430467665098,0.15269514928840145502062382381838,51,51
2019-08-10,0.26320435588869610196,0.13761143500481261725545695883772,51,51
2019-08-11,0.29773007308747715882,0.13299601316456452383076825947410,51,51
2019-08-12,0.23113416715457794510,0.12884212305397929731269099534172,51,51
2019-08-13,0.21001900306319260294,0.1383684407377030884594199249608594,51,51
2019-08-14,0.19870110883649010882,0.1445662076284321112679062413739790,51,51
2019-08-15,0.15605259980617174216,0.1476714658549319722644229349593654,51,51
2019-08-16,0.09235401721879223627,0.1586048255135658315417861334157075,51,51
2019-08-17,0.13997289007197880294,0.1774204643581556526117557578832086,51,51
2019-08-18,0.14255610546648736569,0.1808275425539154746760231079394860,51,51
2019-08-19,0.14244698533851789510,0.1809050532955524576633220178823252,51,51
2019-08-20,0.12450785466499069451,0.1719491285289948796294929720651194,51,51
2019-08-21,0.13958730497790305431,0.1692251588820853613565566179888283,51,51
2019-08-22,0.16004667267788974451,0.1733691097479200801566303784330363,51,51
2019-08-23,0.18237785399394084255,0.1760401166243652464176367507822388,51,51
2019-08-24,0.18631579281386803471,0.1635323037508439253692800252803217,51,51
2019-08-25,0.18391367763904032490,0.1329722378928773417811460448658664,51,51
2019-08-26,0.17746087286692740333,0.1349980014280578889483811952529446,51,51
2019-08-27,0.16740185261305907000,0.1396266628563837898396933587088759,51,51
2019-08-28,0.16396179463575601373,0.13952425746643735793544274606480,51,51
2019-08-29,0.17740178983302911176,0.14614670173497173174785500163053,51,51
2019-08-30,0.17957492954713261765,0.14502827453707193531058954025768,51,51
2019-09-02,0.19150496254137817647,0.14754044235503333045805362879147,51,51
2019-09-03,0.19187611228498629333,0.1473168747303355724409088214346491,51,51
2019-09-05,0.19245593815386235020,0.1466387949904571079950529700648411,51,51
2019-09-06,0.19532623589891394627,0.1468274971716598995491994683574857,51,51
2019-09-08,0.20366699457255729922,0.1544705671343914602480575289955501,51,51
2019-09-09,0.19537438777674943647,0.1562860220913110366372365912209903,51,51
2019-09-10,0.17197484148184496588,0.1608841851247640486797474254222650,51,51
2019-09-11,0.16668587827974151490,0.1600322203102659832184241391549174,51,51
2019-09-13,0.16706665767192717216,0.1489135311651886744161025349175582,51,51
2019-09-14,0.15000964434501805451,0.1466054109170798047808970376055462,51,51
2019-09-15,0.16215316055939707216,0.1596989108216000484442346067290825,51,51
2019-09-21,0.15839250275071851922,0.1538850097493875870195689861564945,51,51
2019-09-22,0.16948657548457324431,0.1494669669067221272587971053435630,51,51
2019-09-24,0.16638367537762636196,0.1482695266152917067127170077868751,51,51
2019-09-25,0.18674004977259228549,0.1554828222800612783297589238983378,51,51
2019-09-27,0.19410357225439073647,0.1516010250742921226919869547169725,51,51
2019-10-02,0.16743510642576687373,0.1448998353564158917929256222529447,51,51
2019-10-03,0.14260428344619657569,0.1408801170136282237238083800188221,51,51
2019-10-06,0.14739351862630659529,0.1446233255294143725516573470133947,51,51
2019-10-07,0.14942467048570990510,0.1435037129690481463879116622287101,51,51
2019-10-09,0.14090471802813721882,0.1444191408506254634916488605822577,51,51
2019-10-12,0.15226535997358431098,0.1493781479750904913838137428934253,51,51
2019-10-16,0.15971241781200495412,0.1494447502535706226074503674991522,51,51
2019-10-17,0.18499579619196288941,0.1542964091776276657409616018487369,51,51
2019-10-18,0.14966021154057828353,0.1475687127740836580942308764327155,51,51
2019-10-19,0.14475897662503056588,0.1411225483602512939649327142705509,51,51
2019-10-20,0.15499805112412803647,0.1486144912957208901200940387449650,51,51
2019-10-21,0.17416328219459141373,0.1528948764713581397560967722517333,51,51
