date,hashtag_mean,hashtag_var,hashtag_count,num_tw
2019-07-12,-0.55982513305463000000,,1,1
2019-07-14,-0.32806315345165155000,0.10742723037898279819257622232881,2,2
2019-07-19,-0.25868467818761170000,0.06815373367938036709881173832847,3,3
2019-07-22,-0.22896046205551127500,0.04896993855159152133347764802637,4,4
2019-07-26,-0.21341146146518622000,0.03793631101048328554447658882354,5,5
2019-07-28,-0.20404470679094451667,0.03087546536715120122316427814184,6,6
2019-07-31,-0.20066618378623044286,0.02580945539647967651450755589471,7,7
2019-08-02,-0.18587615890794590000,0.02022418517004350439371919753154,9,9
2019-08-13,-0.17810339867106411000,0.01858121150148362161857711103074,10,10
2019-08-15,-0.17614869914889319091,0.01676511970377698687028033611436,11,11
2019-08-16,-0.17548791934110546923,0.01403068417167767495310647514023,13,13
2019-08-17,-0.17264942904818722143,0.01306419915385819102425814482042,14,14
2019-08-19,-0.16686338303560525333,0.01263321699833548419570169472192,15,15
2019-08-23,-0.16745230135158455000,0.01179655172830611950070711649184,16,16
2019-08-28,-0.16959324024751287059,0.01113718877434066622960156745605,17,17
2019-08-29,-0.16907461405743832222,0.01048690153915942468200405081643,18,18
2019-08-30,-0.16861058009789793684,0.00990838712089154003197325365967,19,19
2019-09-04,-0.17817328161216099048,0.01071567499591853268041714615351,21,21
2019-09-05,-0.15914627379175818095,0.00306868775412875063691805458412,21,21
2019-09-06,-0.15895300944872197143,0.00309497813296326926804265251740,21,21
2019-09-07,-0.15779344778040206190,0.00342080572450919537982942109724,21,21
2019-09-12,-0.15822404348146325238,0.00341875123766636760723849268304,21,21
2019-09-13,-0.15261462695189333810,0.00409146207579852894566563021139,21,21
2019-09-15,-0.14849220289917875238,0.00671011786959476902043533201979,21,21
2019-09-16,-0.15300455866461227619,0.00704701790004931528181611355159,21,21
2019-09-19,-0.15476735388613770476,0.00694622319987557574847832720009,21,21
2019-09-28,-0.16954604649710199048,0.01158975758128717278035251693367,21,21
2019-09-29,-0.16566089550042265714,0.01173683207414893916433557545081,21,21
2019-10-05,-0.16755318282706870476,0.01176305174626223403121425654401,21,21
2019-10-12,-0.16635993997710241905,0.01187264724521015550438268164943,21,21
2019-10-16,-0.13523562743639029048,0.03747747024030611867578164286657,21,21
2019-10-20,-0.12769992355346795714,0.03802037128035797084613880250393,21,21
2019-10-22,-0.12596133269751720476,0.03899060163983506146825602799539,21,21
2019-10-23,-0.12405515483255534762,0.03892961690882005182545992466682,21,21
2019-10-24,-0.12253536238378901429,0.03821505339675522750251034843887,21,21
2019-10-25,-0.12719294858626263333,0.03918271994136034253580238674591,21,21
2019-10-27,-0.12218824534818755714,0.03936119879677598133957763109795,21,21
2019-10-30,-0.13020166371795957143,0.04020578086368913453528610752850,21,21
2019-11-02,-0.12933771223650285714,0.04015319585582624839259117016758,21,21
2019-11-11,-0.12635141778795175190,0.0407280204546048259320421196854937,21,21
2019-11-22,-0.12707460063669237095,0.0407904966526504465103777279381038,21,21
2019-11-23,-0.13988371924325819000,0.0418780231093739814650537777854944,21,21
2019-11-24,-0.13203367180339876143,0.0410149432100627677579107544162635,21,21
2019-11-25,-0.14271865818749244238,0.0393814518344398432475511281409163,21,21
2019-11-30,-0.14038703987480134714,0.0390502278483004519283981660796343,21,21
