date,hashtag_mean,hashtag_var,hashtag_count
2019-07-11 00:00:00,-0.10638820785833772800,,1
2019-07-17 00:00:00,-0.09713240664938656400,0.0001713397120392436581306338739097920000,2
2019-07-25 00:00:00,-0.16882000287032011700,0.0222651105030840618491644450155649426667,4
2019-08-04 00:00:00,-0.18825146373894629960,0.0185867412347577993808765192529164208000,5
2019-08-05 00:00:00,-0.17842627325267310967,0.0154485991963555587194839548899711846667,6
2019-08-14 00:00:00,-0.16822167514550483686,0.0136027694213313883398891946204782958095,7
2019-08-16 00:00:00,-0.13652386393718592100,0.0196975265300413020281130661630014651429,8
2019-08-26 00:00:00,-0.13423459783318917644,0.0172825023674403151775277707960075487778,9
2019-08-29 00:00:00,-0.13780421705086317580,0.0154896461402054888430670735508751586222,10
2019-09-03 00:00:00,-0.13196287638960010618,0.0143160153941151179885540298452517563636,11
2019-09-04 00:00:00,-0.10926981846547515511,0.0191942579845678446104851781790850980038,12
2019-09-05 00:00:00,-0.11332132974971141856,0.0178081281537756766573329733949913238730,13
2019-09-09 00:00:00,-0.11736486262544125795,0.0166671743555862907993615350707191523213,14
2019-09-13 00:00:00,-0.11244477059040424276,0.0158397714861143616201749122684754213008,15
2019-09-16 00:00:00,-0.11438897445134225696,0.0148442655788195846791256722430512820561,16
2019-09-17 00:00:00,-0.11553834874384169155,0.0139389570216357564256614288102921424568,17
2019-09-21 00:00:00,-0.11099556145269276257,0.0134904828680114773736228017893908385083,18
2019-09-28 00:00:00,-0.11806927555644909707,0.0131051047694535388429851244783776717042,20
2019-09-30 00:00:00,-0.11459732937938776435,0.0127029921463654887662880674897466200845,21
2019-10-02 00:00:00,-0.11531437376660738159,0.0127014281126111823898060642544582176395,21
2019-10-03 00:00:00,-0.09815587835095441863,0.0198727821024046180884056017377843222074,21
2019-10-12 00:00:00,-0.06901283794864952340,0.0197081450487232349117481175000962637502,21
2019-10-14 00:00:00,-0.04979984373729295959,0.0266641786714442892710726027333016581655,21
2019-10-16 00:00:00,-0.03896331814649546244,0.0242107282041870149972287316808463195712,21
2019-10-18 00:00:00,-0.03983518075115714911,0.0243920902909602929407396661845010152445,21
2019-10-24 00:00:00,-0.03993053427884010887,0.0250072732132590944866500730930617923105,21
2019-11-01 00:00:00,-0.04143953268445855459,0.0252958960629225727231503935121534990305,21
2019-11-04 00:00:00,-0.04884073269640999602,0.0284433069969088336698832192021240466062,21
2019-11-08 00:00:00,-0.07025903944284537252,0.0281806614625581630138440273661942052619,21
2019-11-09 00:00:00,-0.06862949337265261871,0.0279226905882227113725567058539811752143,21
2019-11-12 00:00:00,-0.05401569924174076586,0.0292986809272085147941947000087077939286,21
2019-11-13 00:00:00,-0.06145909050878774538,0.0302987865940804742276922880795211405476,21
2019-11-15 00:00:00,-0.05101605301765816538,0.0307886549608560813003410619885116545476,21
2019-11-18 00:00:00,-0.02323558025776823467,0.0421584838002262457416349243398912498333,21
2019-11-21 00:00:00,-0.02590455162753647848,0.0423671088928959712986078089238856452619,21
2019-11-23 00:00:00,-0.02088453599367440538,0.0404842217599102395390826744156948900476,21
