date,url_mean,url_var,url_count,num_tw
2019-07-12 00:00:00,-0.06350000000000000000,,1,1
2019-07-15 00:00:00,-0.06350000000000000000,0,2,2
2019-07-16 00:00:00,-0.06350000000000000000,0,3,3
2019-07-17 00:00:00,-0.06350000000000000000,0,4,4
2019-08-15 00:00:00,-0.10490000000000000000,0.00856980000000000000,5,5
2019-09-11 00:00:00,-0.09716666666666666667,0.00721466666666666667,6,6
2019-09-14 00:00:00,-0.09235714285714285714,0.00617414285714285714,7,7
2019-09-19 00:00:00,-0.15450000000000000000,0.03618600000000000000,8,8
2019-09-27 00:00:00,-0.14438888888888888889,0.03258286111111111111,9,9
2019-10-17 00:00:00,-0.13630000000000000000,0.02961684444444444444,10,10
2019-11-19 00:00:00,-0.16537272727272727273,0.03595261818181818182,11,11
