date,hashtag_mean,hashtag_var,hashtag_count,num_tw
2019-07-11,-0.26851191193315200000,,1,1
2019-07-16,-0.18204711513630740000,0.01495232217023925640072903309832,2,2
2019-07-18,-0.21819592888132360000,0.01139637129063524464013553133648,3,3
2019-07-19,-0.21346508012517263333,0.00694245801982366802899638205025,6,6
2019-07-21,-0.20524949589031897143,0.00625785245342622222946374927907,7,7
2019-07-28,-0.09309266855064230000,0.08498888370056530140323701335881,9,9
2019-07-29,-0.09838081972074177000,0.07582531982848073407314837548397,10,10
2019-07-31,-0.10037321714259470000,0.06828645396798532889120299798101,11,11
2019-08-03,-0.11407396956907028462,0.05856092809165240463178359361517,13,13
2019-08-07,-0.10976659987624661429,0.05431598938676063275064240539644,14,14
2019-08-11,-0.04691097169375397333,0.10969872577237132034121980789475,15,15
2019-08-17,-0.06243661569545056842,0.09077689963496733649658574064734,19,19
2019-08-23,-0.06101521853630735500,0.08603957547291262147469423343600,20,20
2019-08-26,-0.04587038073719695714,0.08655428505045561507425177899562,21,21
2019-08-28,-0.03351821053715745810,0.0839831605495685708948657436803977,21,21
2019-09-01,-0.03613855074638627714,0.0844688714507937136463995151265774,21,21
2019-09-02,-0.02743684047648413429,0.0814110069590810282095133346410531,21,21
2019-09-05,0.00660391121232972286,0.0869404737191205894107642451837894,21,21
2019-09-08,-0.000084458161841896190476,0.0899137960507601794711597929893547,21,21
2019-09-16,-0.00361375363421642000,0.0916385622089615944423292832582628,21,21
2019-09-19,0.04898332038954805143,0.1100121270983188012036474482016627,21,21
2019-09-20,0.00874130536131219429,0.0950146447001553624906868008282639,21,21
2019-09-23,0.00411711762961509905,0.0967167563461600020503154957982692,21,21
2019-09-24,0.00428030099214505143,0.0963336334717963593243554779212867,21,21
2019-09-26,0.00086616096098947524,0.0969946254573168167034791524060299,21,21
2019-10-11,-0.04498137862834104857,0.0610123229270413575893034752322545,21,21
2019-10-18,-0.03583349373320109619,0.0569121096720268992556928352924773,21,21
2019-10-20,-0.03821808457636092000,0.0566916347741910957927762024993958,21,21
2019-10-22,-0.04277520560558294381,0.0571924971440018551451227357128327,21,21
2019-10-23,-0.06783210366700063905,0.0548173420469338652902638029754792,21,21
2019-10-25,-0.02864398841163926190,0.08604108980887063550200137198027,21,21
2019-10-26,-0.03138602964460926190,0.08665454348447736414623299071077,21,21
2019-11-03,-0.05959164230591988095,0.07636644818228989521968533096677,21,21
2019-11-09,-0.05515764542334654762,0.07473949105829531159576141485677,21,21
2019-11-10,-0.05087879227290859524,0.07317892073111828638939458996207,21,21
