date,hashtag_mean,hashtag_var,hashtag_count
2019-07-12 00:00:00,-0.11197025656055093000,,1
2019-07-19 00:00:00,-0.30658113033134097750,0.1015031336030700012773516020050864250000,4
2019-07-28 00:00:00,-0.41126994067539200200,0.1309260852585659248917276888013128200000,5
2019-07-29 00:00:00,-0.33345121903279762167,0.1410753888353782619828780208569341766667,6
2019-07-31 00:00:00,-0.30300064365112996857,0.1240534868170042539445304826487008809524,7
2019-08-09 00:00:00,-0.28228705948230134750,0.1097639806818139705100119600419265928571,8
2019-08-12 00:00:00,-0.31839367008726782152,0.1059552495470718983755423789382497980826,11
2019-08-17 00:00:00,-0.30391431360521371917,0.0988387753033145516045063690830477306404,12
2019-08-20 00:00:00,-0.28771558177286053135,0.0940133965633994076929390022340690148392,13
2019-08-24 00:00:00,-0.32773044185716042196,0.1091982432136786524991534577235773613546,14
2019-08-28 00:00:00,-0.32191349969837321117,0.1019059209395960318511031690080630129437,15
2019-09-03 00:00:00,-0.31028524547784521047,0.0972756536164319325717662158766508198741,16
2019-09-05 00:00:00,-0.30135685123390006208,0.0866399960753916825193941483328393631472,18
2019-09-06 00:00:00,-0.33028944655394439039,0.0977314693272077130048622194159995999260,19
2019-09-09 00:00:00,-0.31982137852183436988,0.0947793167501681401038758267496633053324,20
2019-09-12 00:00:00,-0.29477239424290289500,0.0822074585912361733071301235689098109409,20
2019-09-14 00:00:00,-0.29666918464951678000,0.0816917574190822439241988864166189951515,20
2019-09-16 00:00:00,-0.29725942946082939250,0.0815591292082775050331465094600426464673,20
2019-09-20 00:00:00,-0.26306481442690276050,0.0665914688112748187869390867779339896251,20
2019-09-21 00:00:00,-0.26936792623188287620,0.0635394434194074467341356429108316039515,20
2019-09-25 00:00:00,-0.27401164558061222887,0.0626795182765490648849932647694147584458,20
2019-09-27 00:00:00,-0.23338589542922591028,0.0485960324285781489392831960238072855408,20
2019-09-29 00:00:00,-0.24175824726597564353,0.0499507994801855155352672238816519978229,20
2019-10-02 00:00:00,-0.24116603958820788553,0.0500239619354109422147886130146792967998,20
2019-10-04 00:00:00,-0.25703958543163306587,0.0518376912699442059246430319642362518249,20
2019-10-06 00:00:00,-0.23334989728091422783,0.0315492245125251734046717141393907002219,20
2019-10-13 00:00:00,-0.22513945208367101733,0.0327742716313156466197828736231804887219,20
2019-10-14 00:00:00,-0.22593619034009460733,0.0326372175442521438450775002646041797745,20
2019-10-18 00:00:00,-0.22026779204095782283,0.0336338566806182875982486967133643983798,20
2019-10-19 00:00:00,-0.20006675573818423983,0.0144869013441396192467223295591578246429,20
2019-10-21 00:00:00,-0.20225852906650760208,0.0142178123805639166096357882167731751429,20
2019-10-29 00:00:00,-0.19844781421459132678,0.0145348335200191931070680336118196759763,20
2019-10-31 00:00:00,-0.18959899463803168572,0.0165230296651843169530646055486697797822,20
2019-11-02 00:00:00,-0.19388066400457719272,0.0164978781993159446753676831073006654211,20
2019-11-04 00:00:00,-0.19954993846454606322,0.0167434432169972372210327383143638121532,20
2019-11-05 00:00:00,-0.20406224946171159402,0.0155411435528192991425015023620853305014,20
2019-11-09 00:00:00,-0.20096414014396015336,0.0155628494330862549929129179231487612656,20
2019-11-12 00:00:00,-0.17058158091965645386,0.0271480047690922813595888958307694171519,20
2019-11-14 00:00:00,-0.17159606017102395143,0.0271819922615733459128713386064617419550,20
2019-11-15 00:00:00,-0.15478460950862437843,0.0225523853360265288789644057946408263835,20
2019-11-18 00:00:00,-0.14857699084635167193,0.0225179100634806954924484593732677123135,20
2019-11-20 00:00:00,-0.15579508925722281560,0.0225206708591433237371243086616902905169,20
2019-11-22 00:00:00,-0.17551007688270068060,0.0301283106416848119267981717127078799064,20
2019-11-24 00:00:00,-0.16982910038596288443,0.0291295649781078563343641102946295456845,20
2019-11-30 00:00:00,-0.15086150836987847863,0.0264424431070177724151792389572339816237,20
