date,hashtag_mean,hashtag_var,hashtag_count,num_tw
2019-07-13,-0.13049208989351500000,,1,1
2019-07-15,-0.13603695307237500000,0.000061491015344554848701799200,2,2
2019-07-18,-0.24104793178795325000,0.017349063153696054076434101331,4,4
2019-07-23,-0.23946548491625600000,0.013024318055780762621341054286,5,5
2019-07-24,-0.29188154141454083333,0.026904112317612936322207494209,6,6
2019-07-29,-0.25169910837676195556,0.02278446552455130707774628497777,9,9
2019-08-05,-0.25666343942016916000,0.02049930407113097092310975173483,10,10
2019-08-08,-0.27839148009339232727,0.02364255893048751677974973904130,11,11
2019-08-09,-0.26433677075017068571,0.01951707159261562742209162906954,14,14
2019-08-10,-0.25626074829877884000,0.01910132712981671710367937408196,15,15
2019-08-11,-0.25276370232263647500,0.01802357461011032540039568377452,16,16
2019-08-13,-0.26290981621922008889,0.02035159442873537849413719137908,18,18
2019-08-15,-0.25712700020608292632,0.01985632855359975141679019651588,19,19
2019-08-18,-0.26272571134799633000,0.01943816995873778606254819539348,20,20
2019-08-22,-0.26496940076568979048,0.01857197844706535877422441103988,21,21
2019-08-23,-0.26951251576907298095,0.01772242985353882742292933633975,21,21
2019-08-24,-0.27324275973643421905,0.01701249226247045192621890087959,21,21
2019-08-25,-0.25999979865370869524,0.01668594574648326971209630726469,21,21
2019-08-26,-0.25975474560613255238,0.01670103139014025145132812936419,21,21
2019-08-27,-0.24138540186599550476,0.01236477049524033709872869191441,21,21
2019-08-29,-0.25372635981414195238,0.011065445991477007488595174243,21,21
2019-08-30,-0.24705653114297900000,0.009834090881017001028055109419,21,21
2019-08-31,-0.26346117205942966667,0.014456497081930984968985987938,21,21
2019-09-02,-0.26401335035941833333,0.014470837877736753477601354483,21,21
2019-09-03,-0.27132191336797785714,0.013856699847999796453208743046,21,21
2019-09-08,-0.26779195361879828571,0.014656485425603211813320256164,21,21
2019-09-09,-0.25022233617442757143,0.011891263478310303984971068177,21,21
2019-09-11,-0.24978924598079992857,0.01323365178569875239990774148331,21,21
2019-09-15,-0.24362157783277645238,0.01325466966001947412418722083485,21,21
2019-09-19,-0.24591035409254450000,0.01320767619659403351633923685705,21,21
2019-09-22,-0.24593333677738007143,0.01320863605924510853861258957036,21,21
2019-09-27,-0.24700056055010911905,0.01301407137330030477778960754905,21,21
2019-09-30,-0.25316972027375135714,0.01356700885476850469302148551698,21,21
2019-10-01,-0.26674169357418816667,0.01526712724514547009706271106853,21,21
2019-10-03,-0.26188602850713483333,0.01592872404503890050118802493853,21,21
2019-10-04,-0.23699082172792013810,0.01613510717913607433112936945486,21,21
2019-10-07,-0.22912559513245185238,0.01666656876662358741311905957598,21,21
2019-10-09,-0.23803106780480542381,0.01666496362072404731110930292344,21,21
2019-10-10,-0.21835303861377790000,0.01142202106146481321004860304110,21,21
2019-10-11,-0.21170483785854570952,0.01146296402755255198838551098830,21,21
2019-10-13,-0.19942641309201581429,0.01232830233242444548806574674214,21,21
2019-10-18,-0.19001207100313211429,0.01517713058937188550318499941789,21,21
2019-10-20,-0.19841171884293485238,0.03313746137479239426752462727525,21,21
2019-10-21,-0.21487065135387737619,0.03697101106602433022505945054060,21,21
2019-10-23,-0.21318357539249404286,0.03692948463355411884457694428676,21,21
2019-10-26,-0.20970848575693666190,0.03679727535759209493571141716047,21,21
2019-10-28,-0.20366240655008270952,0.03560232501147031851428441643682,21,21
2019-10-29,-0.19149863590237223333,0.03210760544249108016561112215019,21,21
2019-10-30,-0.19651971709953109048,0.03218309590390332477089724116498,21,21
2019-10-31,-0.19589124683003232381,0.03308607196593905162521330676607,21,21
2019-11-03,-0.19333571165868077619,0.03363963899115275902361878119792,21,21
2019-11-04,-0.18676376435870534762,0.03270192701229463948852881788993,21,21
2019-11-05,-0.18650442527933772857,0.03276705237205182688810022857054,21,21
2019-11-07,-0.19205563049422739524,0.03309537171952594851168854899068,21,21
2019-11-08,-0.17307670313350831429,0.01315004614694670888280177887681,21,21
2019-11-09,-0.18436875108612650476,0.01472623910161185862287872159066,21,21
2019-11-11,-0.18129509044495545714,0.01453387436576083093937194804942,21,21
2019-11-12,-0.18367914438304126667,0.01478710093977116632380905757740,21,21
2019-11-16,-0.19942469093637364762,0.02315211179713221169434223099162,21,21
2019-11-18,-0.18878845741306488095,0.02563202028520671500148752786372,21,21
2019-11-19,-0.18615715904758550000,0.02567859285207697075632727880403,21,21
2019-11-20,-0.18231643983598050000,0.02544206724460720242206430239928,21,21
2019-11-21,-0.18064501474105726190,0.02544157839209680077947639385607,21,21
2019-11-22,-0.20559395659138784286,0.02416352197230272829195464110106,21,21
2019-11-24,-0.20718277712638122381,0.02416113075344149238547518839742,21,21
2019-11-25,-0.21926968536734193810,0.02611644967571206579624919948160,21,21
2019-11-29,-0.20938604288578190000,0.03018793225268433491902622262674,21,21
2019-11-30,-0.19991145112770690952,0.03075300815777734364834935648536,21,21
2019-12-01,-0.20924792719868172857,0.02938317881362076949439749367776,21,21
